Tiếng Việt,Tiếng Hàn,Phát âm,Danh mục,Độ khó
"Xin chào buổi chiều","좋은 오후","jo-eun o-hu","greeting","easy"
"Tôi là người Việt Nam","저는 베트남 사람이에요","jeo-neun be-teu-nam sa-ram-i-e-yo","greeting","normal"
"Cảm ơn rất nhiều","정말 감사합니다","jeong-mal gam-sa-ham-ni-da","greeting","normal"
"Xin giúp đỡ","도와주세요","do-wa-ju-se-yo","greeting","easy"
"Tôi xin lỗi","미안합니다","mi-an-ham-ni-da","greeting","easy"
"Không sao đâu","괜찮아요","gwaen-cha-na-yo","greeting","easy"
"Vui lòng nói chậm","천천히 말해 주세요","cheon-cheon-hi mal-hae ju-se-yo","greeting","normal"
"Nói lại lần nữa","다시 한번 말해 주세요","da-si han-beon mal-hae ju-se-yo","greeting","hard"
"Tôi đến từ Việt Nam","베트남에서 왔어요","be-teu-nam-e-seo wa-sseo-yo","greeting","normal"
"Gặp lại sau","나중에 봐요","na-jung-e bwa-yo","greeting","easy"
"Cần giúp đỡ không?","도움이 필요해요?","do-um-i pi-ryo-hae-yo","greeting","normal"
"Xin chúc sức khỏe","건강하세요","geon-gang-ha-se-yo","greeting","normal"
"Đi cẩn thận","조심히 가세요","jo-sim-hi ga-se-yo","greeting","normal"
"Mời ngồi","앉으세요","an-jeu-se-yo","greeting","easy"
"Chúc ngon miệng","맛있게 드세요","ma-sit-ge deu-se-yo","greeting","hard"
"Tôi tên là...","제 이름은...이에요","je i-reum-eun...i-e-yo","greeting","easy"
"Nước sốt","소스","so-seu","food","easy"
"Mì ramen","라면","ra-myeon","food","easy"
"Cơm cuộn","김밥","gim-bap","food","easy"
"Bánh gạo cay","떡볶이","tteok-bo-kki","food","easy"
"Gà rán","치킨","chi-kin","food","easy"
"Thịt nướng","불고기","bul-go-gi","food","easy"
"Sườn nướng","갈비","gal-bi","food","normal"
"Mì lạnh","냉면","naeng-myeon","food","normal"
"Cơm trộn","비빔밥","bi-bim-bap","food","easy"
"Canh kim chi","김치찌개","gim-chi-jji-gae","food","normal"
"Canh đậu phụ","된장찌개","doen-jang-jji-gae","food","normal"
"Bánh xèo Hàn","전","jeon","food","easy"
"Mandu","만두","man-du","food","easy"
"Hải sản","해산물","hae-san-mul","food","normal"
"Tráng miệng","디저트","di-jeo-teu","food","easy"
"Kem","아이스크림","a-i-seu-keu-rim","food","easy"
"Bánh","케이크","ke-i-keu","food","easy"
"Socola","초콜릿","cho-kol-lit","food","normal"
"Kẹo","사탕","sa-tang","food","easy"
"Dầu ăn","식용유","si-gyong-yu","food","normal"
"Bột","밀가루","mil-ga-ru","food","normal"
"Giấm","식초","sik-cho","food","normal"
"Hạt tiêu","후추","hu-chu","food","easy"
"Gừng","생강","saeng-gang","food","normal"
"Mè","깨","kkae","food","easy"
"Bắp","옥수수","ok-su-su","food","easy"
"Khoai lang","고구마","go-gu-ma","food","easy"
"Nấm","버섯","beo-seot","food","easy"
"Bầu","호박","ho-bak","food","easy"
"Đậu","콩","kong","food","easy"
"Bơ (trái)","아보카도","a-bo-ka-do","food","easy"
"Xoài","망고","mang-go","food","easy"
"Ổi","구아바","gu-a-ba","food","normal"
"Bưởi","자몽","ja-mong","food","normal"
"Chanh","레몬","re-mon","food","easy"
"Anh rể","형부","hyeong-bu","family","hard"
"Chị dâu (anh trai)","올케","ol-ke","family","hard"
"Con nuôi","양자","yang-ja","family","hard"
"Bố chồng","시아버지","si-a-beo-ji","family","hard"
"Mẹ chồng","시어머니","si-eo-meo-ni","family","hard"
"Bố vợ","장인","jang-in","family","hard"
"Mẹ vợ","장모","jang-mo","family","hard"
"Cháu (gọi chú)","조카","jo-ka","family","normal"
"Anh họ","사촌","sa-chon","family","normal"
"Song sinh","쌍둥이","ssang-dung-i","family","normal"
"Con một","외동","oe-dong","family","normal"
"Con đầu","첫째","cheot-jjae","family","easy"
"Con thứ","둘째","dul-jjae","family","easy"
"Con út","막내","mang-nae","family","easy"
"Gia đình lớn","대가족","dae-ga-jok","family","normal"
"Thế hệ","세대","se-dae","family","hard"
"Đám cưới","결혼식","gyeol-hon-sik","family","normal"
"Kết hôn","결혼하다","gyeol-hon-ha-da","family","normal"
"Ly hôn","이혼하다","i-hon-ha-da","family","hard"
"Tự hào","자랑스럽다","ja-rang-seu-reop-da","emotion","hard"
"Hối hận","후회하다","hu-hoe-ha-da","emotion","hard"
"Cảm thông","동정하다","dong-jeong-ha-da","emotion","hard"
"Dũng cảm","용감하다","yong-gam-ha-da","emotion","hard"
"Khiêm tốn","겸손하다","gyeom-son-ha-da","emotion","hard"
"Tò mò","궁금하다","gung-geum-ha-da","emotion","normal"
"Thoải mái","편안하다","pyeon-an-ha-da","emotion","normal"
"Bất an","불안하다","bu-ran-ha-da","emotion","normal"
"Xấu hổ","창피하다","chang-pi-ha-da","emotion","normal"
"Xúc động","감격하다","gam-gyeok-ha-da","emotion","hard"
"Kiên nhẫn","인내하다","in-nae-ha-da","emotion","hard"
"Hào hứng","설레다","seol-le-da","emotion","normal"
"Thư giãn","relaxhada","rel-laek-seu-ha-da","emotion","normal"
"Trầm tĩnh","침착하다","chim-cha-ka-da","emotion","hard"
"Hồ nghi","의심하다","ui-sim-ha-da","emotion","hard"
"Tin tưởng","믿다","mit-da","emotion","easy"
"Khao khát","간절하다","gan-jeol-ha-da","emotion","hard"
"Khẩn trương","긴장하다","gin-jang-ha-da","emotion","normal"
"Thỏa mãn","충분하다","chung-bun-ha-da","emotion","normal"
"Hai mươi","이십","i-sip","number","easy"
"Ba mươi","삼십","sam-sip","number","easy"
"Bốn mươi","사십","sa-sip","number","easy"
"Năm mươi","오십","o-sip","number","easy"
"Sáu mươi","육십","yuk-sip","number","easy"
"Bảy mươi","칠십","chil-sip","number","easy"
"Tám mươi","팔십","pal-sip","number","easy"
"Chín mươi","구십","gu-sip","number","easy"
"Một triệu","백만","baeng-man","number","normal"
"Một tỷ","십억","si-beok","number","hard"
"Lần đầu tiên","처음","cheo-eum","number","easy"
"Cuối cùng","마지막","ma-ji-mak","number","easy"
"Tất cả","전부","jeon-bu","number","easy"
"Mỗi","매","mae","number","easy"
"Đôi","쌍","ssang","number","normal"
"Mấy cái?","몇 개?","myeot gae","number","easy"
"Tầng","층","cheung","number","normal"
"Lần","번","beon","number","easy"
"Giỏ hàng","장바구니","jang-ba-gu-ni","shopping","normal"
"Mã giảm giá","쿠폰","ku-pon","shopping","easy"
"Thanh toán","결제","gyeol-je","shopping","normal"
"Hàng mới","신상품","sin-sang-pum","shopping","normal"
"Hàng sale","세일 상품","se-il sang-pum","shopping","normal"
"Đồ điện tử","전자제품","jeon-ja-je-pum","shopping","hard"
"Điện thoại","핸드폰","haen-deu-pon","shopping","easy"
"Máy tính xách tay","노트북","no-teu-buk","shopping","easy"
"Tai nghe","이어폰","i-eo-pon","shopping","easy"
"Phụ kiện","액세서리","aek-se-seo-ri","shopping","normal"
"Mỹ phẩm","화장품","hwa-jang-pum","shopping","normal"
"Son môi","립스틱","rip-seu-tik","shopping","normal"
"Nước hoa","향수","hyang-su","shopping","normal"
"Kem chống nắng","선크림","seon-keu-rim","shopping","normal"
"Dép","슬리퍼","seul-li-peo","shopping","easy"
"Áo hoodie","후드티","hu-deu-ti","shopping","easy"
"Áo sơ mi","셔츠","syeo-cheu","shopping","easy"
"Quần jean","청바지","cheong-ba-ji","shopping","easy"
"Đồ lót","속옷","so-got","shopping","normal"
"Khăn","수건","su-geon","shopping","easy"
"Xà phòng","비누","bi-nu","shopping","easy"
"Dầu gội","샴푸","syam-pu","shopping","easy"
"Kem đánh răng","치약","chi-yak","shopping","easy"
"Bàn chải đánh răng","칫솔","chit-sol","shopping","easy"
"Giấy vệ sinh","화장지","hwa-jang-ji","shopping","normal"
"Đường đi bộ","보행자 도로","bo-haeng-ja do-ro","transport","hard"
"Đường một chiều","일방통행","il-bang-tong-haeng","transport","hard"
"Thẻ giao thông","교통카드","gyo-tong-ka-deu","transport","normal"
"Nạp tiền","충전하다","chung-jeon-ha-da","transport","normal"
"Tuyến","노선","no-seon","transport","normal"
"Chuyển tuyến","환승하다","hwan-seung-ha-da","transport","hard"
"Trạm cuối","종점","jong-jeom","transport","normal"
"Trạm tiếp theo","다음 역","da-eum yeok","transport","easy"
"Xe khách","고속버스","go-sok-beo-seu","transport","normal"
"KTX","고속열차","go-sok-yeol-cha","transport","normal"
"Xe cứu thương","구급차","gu-geup-cha","transport","hard"
"Xe cứu hỏa","소방차","so-bang-cha","transport","hard"
"Xe cảnh sát","경찰차","gyeong-chal-cha","transport","hard"
"Biển số xe","번호판","beon-ho-pan","transport","hard"
"Đường ngầm","지하도","ji-ha-do","transport","normal"
"Cầu vượt","육교","yuk-gyo","transport","normal"
"Đi xe ôm","오토바이를 타다","o-to-ba-i-reul ta-da","transport","normal"
"Làn đường","차선","cha-seon","transport","hard"
"Cảng","항만","hang-man","transport","hard"
"Hành lý","짐","jim","transport","easy"
"Va li","캐리어","kae-ri-eo","transport","easy"
"Chỗ ngồi","좌석","jwa-seok","transport","normal"
"Đặt vé","예매하다","ye-mae-ha-da","transport","normal"
"Khám sức khỏe","건강검진","geon-gang-geom-jin","hospital","hard"
"Chụp X-quang","엑스레이","ek-seu-re-i","hospital","normal"
"Xét nghiệm máu","혈액검사","hyeo-raek-geom-sa","hospital","hard"
"Nội khoa","내과","nae-gwa","hospital","normal"
"Ngoại khoa","외과","oe-gwa","hospital","normal"
"Da liễu","피부과","pi-bu-gwa","hospital","normal"
"Mắt (khoa)","안과","an-gwa","hospital","normal"
"Tai mũi họng","이비인후과","i-bi-in-hu-gwa","hospital","hard"
"Sản khoa","산부인과","san-bu-in-gwa","hospital","hard"
"Nhi khoa","소아과","so-a-gwa","hospital","normal"
"Tiêm phòng","예방접종","ye-bang-jeop-jong","hospital","hard"
"Viêm","염증","yeom-jeung","hospital","hard"
"Thuốc giảm đau","진통제","jin-tong-je","hospital","hard"
"Thuốc kháng sinh","항생제","hang-saeng-je","hospital","hard"
"Bông băng","붕대","bung-dae","hospital","normal"
"Band-aid","반창고","ban-chang-go","hospital","normal"
"Nhiệt kế","체온계","che-on-gye","hospital","normal"
"Khẩu trang","마스크","ma-seu-keu","hospital","easy"
"Bảo hiểm y tế","건강보험","geon-gang-bo-heom","hospital","hard"
"Phòng cấp cứu","응급실","eung-geup-sil","hospital","hard"
"Bài kiểm tra","시험","si-heom","school","easy"
"Kỳ thi giữa kỳ","중간시험","jung-gan-si-heom","school","normal"
"Kỳ thi cuối kỳ","기말시험","gi-mal-si-heom","school","normal"
"Phòng thí nghiệm","실험실","sil-heom-sil","school","hard"
"Thể dục","체육관","che-yuk-gwan","school","normal"
"Sân trường","운동장","un-dong-jang","school","normal"
"Hội đồng học sinh","학생회","hak-saeng-hoe","school","hard"
"Đồng phục","교복","gyo-bok","school","normal"
"Bảng điểm","성적표","seong-jeok-pyo","school","hard"
"Thạc sĩ","석사","seok-sa","school","hard"
"Tiến sĩ","박사","bak-sa","school","hard"
"Chuyên ngành","전공","jeon-gong","school","normal"
"Học bổng","장학금","jang-hak-geum","school","hard"
"Ký túc xá","기숙사","gi-suk-sa","school","normal"
"Bạn cùng phòng","룸메이트","rum-me-i-teu","school","easy"
"Câu lạc bộ","동아리","dong-a-ri","school","normal"
"Thực tập","실습","sil-seup","school","normal"
"Bài thuyết trình","발표","bal-pyo","school","normal"
"Luận văn","논문","non-mun","school","hard"
"Đăng ký học","수강신청","su-gang-sin-cheong","school","hard"
"Vắng mặt","결석","gyeol-seok","school","normal"
"Đúng giờ","지각하지 않다","ji-gak-ha-ji an-ta","school","hard"
"Đi muộn","지각","ji-gak","school","easy"
"Tạo CV","이력서를 쓰다","i-ryeok-seo-reul sseu-da","work","hard"
"Hồ sơ xin việc","지원서","ji-won-seo","work","hard"
"Thử việc","수습","su-seup","work","hard"
"Nhân viên chính thức","정규직","jeong-gyu-jik","work","hard"
"Nhân viên tạm thời","비정규직","bi-jeong-gyu-jik","work","hard"
"Nhân viên partime","아르바이트","a-reu-ba-i-teu","work","easy"
"Tăng lương","인상","in-sang","work","normal"
"Ngày nghỉ","휴일","hyu-il","work","easy"
"Nghỉ ốm","병가","byeong-ga","work","normal"
"Lịch công tác","출장","chul-jang","work","normal"
"Hội thảo","세미나","se-mi-na","work","normal"
"Đào tạo","교육","gyo-yuk","work","normal"
"Bộ phận","부서","bu-seo","work","normal"
"Phòng nhân sự","인사부","in-sa-bu","work","hard"
"Phòng kế toán","회계부","hoe-gye-bu","work","hard"
"Phòng marketing","마케팅부","ma-ke-ting-bu","work","normal"
"Nghỉ hưu","은퇴","eun-toe","work","hard"
"Hồ sơ","서류","seo-ryu","work","normal"
"Sản xuất","생산","saeng-san","work","hard"
"Khởi nghiệp","창업","chang-eop","work","hard"
"Đầu tư","투자","tu-ja","work","hard"
"Cắm trại","캠핑","kaem-ping","hobby","easy"
"Làm vườn","원예","won-ye","hobby","normal"
"Thủ công","공예","gong-ye","hobby","normal"
"Đan len","뜨개질","tteu-gae-jil","hobby","normal"
"Xem kịch","연극을 보다","yeon-geu-geul bo-da","hobby","normal"
"Karaoke","노래방","no-rae-bang","hobby","easy"
"Bowling","볼링","bol-ling","hobby","easy"
"Trượt tuyết","스키","seu-ki","hobby","easy"
"Lướt sóng","서핑","seo-ping","hobby","easy"
"Cưỡi ngựa","승마","seung-ma","hobby","normal"
"Đi dạo","산책","san-chaek","hobby","easy"
"Vẽ tranh","그림 그리다","geu-rim geu-ri-da","hobby","normal"
"Xem triển lãm","전시회를 보다","jeon-si-hoe-reul bo-da","hobby","normal"
"Sưu tầm","수집","su-jip","hobby","normal"
"Chơi cờ","바둑","ba-duk","hobby","normal"
"Trượt băng","스케이트","seu-ke-i-teu","hobby","easy"
"Cầu lông","배드민턴","bae-deu-min-teon","hobby","easy"
"Bóng bàn","탁구","tak-gu","hobby","easy"
"Sương giá","서리","seo-ri","weather","normal"
"Mưa phùn","이슬비","i-seul-bi","weather","normal"
"Mưa rào","소나기","so-na-gi","weather","normal"
"Lũ lụt","홍수","hong-su","weather","hard"
"Hạn hán","가뭄","ga-mum","weather","hard"
"Động đất","지진","ji-jin","weather","hard"
"Ô nhiễm","미세먼지","mi-se-meon-ji","weather","normal"
"Mát mẻ","시원하다","si-won-ha-da","weather","easy"
"Ấm","따뜻하다","tta-tteu-ta-da","weather","easy"
"Trời nắng","날씨가 좋다","nal-ssi-ga jo-ta","weather","easy"
"Trời mưa","비가 오다","bi-ga o-da","weather","easy"
"Trời tuyết","눈이 오다","nun-i o-da","weather","easy"
"Nhiệt độ cao","고온","go-on","weather","normal"
"Nhiệt độ thấp","저온","jeo-on","weather","normal"
"Dự báo thời tiết","일기예보","il-gi-ye-bo","weather","hard"
"Năm ngoái","작년","jang-nyeon","time","easy"
"Năm sau","내년","nae-nyeon","time","easy"
"Tháng trước","지난달","ji-nan-dal","time","easy"
"Tháng sau","다음 달","da-eum dal","time","easy"
"Ngày kia","모레","mo-re","time","easy"
"Hôm kia","그저께","geu-jeo-kke","time","normal"
"Bình minh","새벽","sae-byeok","time","normal"
"Buổi chiều","오후","o-hu","time","easy"
"Buổi sáng","오전","o-jeon","time","easy"
"Giữa trưa","정오","jeong-o","time","normal"
"Nửa đêm","자정","ja-jeong","time","normal"
"Kỷ niệm","기념일","gi-nyeom-il","time","normal"
"Sinh nhật","생일","saeng-il","time","easy"
"Lễ Tết","명절","myeong-jeol","time","normal"
"Ngày lễ","공휴일","gong-hyu-il","time","normal"
"Kỳ nghỉ","방학","bang-hak","time","easy"
"Mùa","계절","gye-jeol","time","easy"
"Thời kỳ","시기","si-gi","time","normal"
"Đúng lúc","제시간에","je-si-gan-e","time","normal"
"Rạp hát","극장","geuk-jang","place","normal"
"Sở thú","동물원","dong-mul-won","place","normal"
"Vườn bách thảo","식물원","sing-mul-won","place","normal"
"Nhà ga","기차역","gi-cha-yeok","place","normal"
"Phòng tập","체육관","che-yuk-gwan","place","normal"
"Sân vận động","경기장","gyeong-gi-jang","place","normal"
"Trung tâm thương mại","쇼핑몰","syo-ping-mol","place","easy"
"Chung cư","아파트 단지","a-pa-teu dan-ji","place","normal"
"Phòng trọ","원룸","won-rum","place","easy"
"Viện bảo tàng nghệ thuật","미술관","mi-sul-gwan","place","normal"
"Đại sứ quán","대사관","dae-sa-gwan","place","hard"
"Cơ quan nhập cư","출입국관리사무소","chu-rip-guk-gwan-ri-sa-mu-so","place","hard"
"Phòng khám","의원","ui-won","place","normal"
"Tiệm cắt tóc","미용실","mi-yong-sil","place","easy"
"Phòng tắm hơi","찜질방","jjim-jil-bang","place","normal"
"Nhà sách","서점","seo-jeom","place","easy"
"Khu phố","동네","dong-ne","place","easy"
"Thành phố","도시","do-si","place","easy"
"Nông thôn","시골","si-gol","place","easy"
"Quảng trường","광장","gwang-jang","place","normal"
"Thang máy","엘리베이터","el-li-be-i-teo","place","normal"
"Thang cuốn","에스컬레이터","e-seu-keol-le-i-teo","place","hard"
"Lầu","층","cheung","place","easy"
"Tầng hầm","지하","ji-ha","place","easy"
"Ném","던지다","deon-ji-da","action","easy"
"Bắt","잡다","jap-da","action","easy"
"Kéo","당기다","dang-gi-da","action","easy"
"Đẩy","밀다","mil-da","action","easy"
"Nâng","올리다","ol-li-da","action","easy"
"Hạ","내리다","nae-ri-da","action","easy"
"Cắt","자르다","ja-reu-da","action","easy"
"Dán","붙이다","bu-chi-da","action","normal"
"Gấp","접다","jeop-da","action","normal"
"Treo","걸다","geol-da","action","normal"
"Lắc","흔들다","heun-deul-da","action","normal"
"Quay","돌리다","dol-li-da","action","normal"
"Đánh","치다","chi-da","action","easy"
"Đá","차다","cha-da","action","easy"
"Nhảy","뛰다","ttwi-da","action","easy"
"Trèo","오르다","o-reu-da","action","normal"
"Rơi","떨어지다","tteo-reo-ji-da","action","normal"
"Trượt","미끄러지다","mi-kkeu-reo-ji-da","action","hard"
"Dọn dẹp","정리하다","jeong-ri-ha-da","action","normal"
"Nấu","요리하다","yo-ri-ha-da","action","normal"
"Giặt","빨래하다","ppal-lae-ha-da","action","normal"
"Lau","닦다","dak-da","action","normal"
"Quét","쓸다","sseul-da","action","normal"
"Sấy","말리다","mal-li-da","action","normal"
"Đổ","쏟다","ssot-da","action","normal"
"Lấy","가져가다","ga-jyeo-ga-da","action","normal"
"Đưa","건네다","geon-ne-da","action","normal"
"Thay đổi","바꾸다","ba-kku-da","action","normal"
"So sánh","비교하다","bi-gyo-ha-da","action","hard"
"Chọn","선택하다","seon-tae-ka-da","action","hard"
"Quyết định","결정하다","gyeol-jeong-ha-da","action","hard"
"Chuẩn bị","준비하다","jun-bi-ha-da","action","normal"
"Hoàn thành","완성하다","wan-seong-ha-da","action","hard"
"Giải thích","설명하다","seol-myeong-ha-da","action","hard"
"Đồng ý","동의하다","dong-ui-ha-da","action","hard"
"Từ chối","거절하다","geo-jeol-ha-da","action","hard"
"Hứa","약속하다","yak-so-ka-da","action","normal"
"Tha thứ","용서하다","yong-seo-ha-da","action","hard"
"Chăm sóc","돌보다","dol-bo-da","action","normal"
"Thử","시도하다","si-do-ha-da","action","normal"
"Kiểm tra","확인하다","hwa-gin-ha-da","action","normal"
"Sửa chữa","수리하다","su-ri-ha-da","action","hard"
"Sạch","깨끗하다","kkae-kkeu-ta-da","adjective","easy"
"Bẩn","더럽다","deo-reop-da","adjective","easy"
"Giàu","부자다","bu-ja-da","adjective","normal"
"Nghèo","가난하다","ga-nan-ha-da","adjective","normal"
"Béo","뚱뚱하다","ttung-ttung-ha-da","adjective","easy"
"Gầy","날씬하다","nal-ssin-ha-da","adjective","normal"
"Trẻ","젊다","jeom-da","adjective","easy"
"Già","늙다","neuk-da","adjective","easy"
"Thông minh","똑똑하다","ttok-ttok-ha-da","adjective","easy"
"Ngu","바보같다","ba-bo-gat-da","adjective","normal"
"Chăm chỉ","부지런하다","bu-ji-reon-ha-da","adjective","normal"
"Lười","게으르다","ge-eu-reu-da","adjective","normal"
"Đặc biệt","특별하다","teuk-byeol-ha-da","adjective","normal"
"Bình thường","보통이다","bo-tong-i-da","adjective","easy"
"Quan trọng","중요하다","jung-yo-ha-da","adjective","normal"
"Cần thiết","필요하다","pi-ryo-ha-da","adjective","normal"
"Đủ","충분하다","chung-bun-ha-da","adjective","normal"
"Thiếu","부족하다","bu-jok-ha-da","adjective","normal"
"Giống","같다","gat-da","adjective","easy"
"Khác","다르다","da-reu-da","adjective","easy"
"Nguy hiểm","위험하다","wi-heom-ha-da","adjective","normal"
"An toàn","안전하다","an-jeon-ha-da","adjective","normal"
"Nổi tiếng","유명하다","yu-myeong-ha-da","adjective","normal"
"Bận","바쁘다","ba-ppeu-da","adjective","easy"
"Rảnh","한가하다","han-ga-ha-da","adjective","normal"
"Đúng","맞다","mat-da","adjective","easy"
"Sai","틀리다","teul-li-da","adjective","easy"
"Thú vị","재미있다","jae-mi-it-da","adjective","easy"
"Nhàm chán","재미없다","jae-mi-eop-da","adjective","easy"
"Phức tạp","복잡하다","bok-ja-pa-da","adjective","hard"
"Đơn giản","간단하다","gan-dan-ha-da","adjective","normal"
"Rõ ràng","분명하다","bun-myeong-ha-da","adjective","hard"
"Mờ","흐릿하다","heu-rit-ha-da","adjective","hard"
"Mềm","부드럽다","bu-deu-reop-da","adjective","normal"
"Cứng","딱딱하다","ttak-ttak-ha-da","adjective","normal"
"Ở lại đây","여기 있으세요","yeo-gi i-sseu-se-yo","greeting","easy"
"Tôi đi đây","저 갈게요","jeo gal-ge-yo","greeting","easy"
"Chào mừng đến Hàn Quốc","한국에 오신 것을 환영합니다","han-gu-ge o-sin geo-seul hwan-yeong-ham-ni-da","greeting","hard"
"Lâu quá không gặp","오래간만이에요","o-rae-gan-man-i-e-yo","greeting","normal"
"Bạn ăn cơm chưa?","밥 먹었어요?","bap meo-geo-sseo-yo","greeting","easy"
"Nghỉ ngơi nhé","쉬세요","swi-se-yo","greeting","easy"
"Cố lên!","화이팅!","hwa-i-ting","greeting","easy"
"Đậu nành","대두","dae-du","food","normal"
"Bắp cải","양배추","yang-bae-chu","food","normal"
"Rau diếp","상추","sang-chu","food","easy"
"Tỏi đen","흑마늘","heung-ma-neul","food","hard"
"Trà xanh","녹차","nok-cha","food","easy"
"Nước khoáng","생수","saeng-su","food","easy"
"Coca","콜라","kol-la","food","easy"
"Sữa chua","요거트","yo-geo-teu","food","easy"
"Cháu ngoại","외손자","oe-son-ja","family","hard"
"Cha dượng","새아버지","sae-a-beo-ji","family","hard"
"Mẹ kế","새어머니","sae-eo-meo-ni","family","hard"
"Con riêng","전 남편의 자녀","jeon nam-pyeon-ui ja-nyeo","family","hard"
"Người thân","가까운 사람","ga-kka-un sa-ram","family","normal"
"Thương xót","안타깝다","an-ta-kkap-da","emotion","normal"
"Phát khóc","울고 싶다","ul-go sip-da","emotion","normal"
"Vui sướng","즐겁다","jeul-geop-da","emotion","easy"
"Rung động","두근거리다","du-geun-geo-ri-da","emotion","hard"
"Cảm phục","존경하다","jon-gyeong-ha-da","emotion","hard"
"Thương nhớ","보고 싶다","bo-go sip-da","emotion","easy"
"Trăm triệu","일억","i-reok","number","normal"
"Vài","몇몇","myeon-myeot","number","normal"
"Nhiều","여러","yeo-reo","number","easy"
"Ít nhất","적어도","jeo-geo-do","number","normal"
"Nhiều nhất","가장 많이","ga-jang ma-ni","number","normal"
"Giỏ xách","쇼핑백","syo-ping-baek","shopping","easy"
"Đồ second-hand","중고품","jung-go-pum","shopping","normal"
"Đồ mới","새 물건","sae mul-geon","shopping","easy"
"Máy ảnh","카메라","ka-me-ra","shopping","easy"
"Đồ chơi","장난감","jang-nan-gam","shopping","easy"
"Đồ trang trí","인테리어","in-te-ri-eo","shopping","normal"
"Hoa","꽃","kkot","shopping","easy"
"Nến thơm","향초","hyang-cho","shopping","normal"
"Chuyến bay","항공편","hang-gong-pyeon","transport","hard"
"Phà","페리","pe-ri","transport","normal"
"Xe thuê","렌터카","ren-teo-ka","transport","normal"
"Đường vòng","우회도로","u-hoe-do-ro","transport","hard"
"Bản đồ","지도","ji-do","transport","easy"
"Hướng dẫn","안내","an-nae","transport","easy"
"Lối ra","출구","chul-gu","transport","easy"
"Lối vào","입구","ip-gu","transport","easy"
"Siêu âm","초음파","cho-eum-pa","hospital","hard"
